iter	Passed	Remaining
802	2295	563
803	2298	560
804	2300	557
805	2303	554
806	2306	551
807	2309	548
808	2312	545
809	2315	543
810	2317	540
811	2320	537
812	2323	534
813	2326	531
814	2329	528
815	2332	525
816	2334	522
817	2337	520
818	2340	517
819	2343	514
820	2346	511
821	2349	508
822	2351	505
823	2354	502
824	2357	500
825	2360	497
826	2363	494
827	2366	491
828	2368	488
829	2371	485
830	2374	482
831	2377	480
832	2380	477
833	2382	474
834	2385	471
835	2388	468
836	2391	465
837	2394	462
838	2396	459
839	2399	457
840	2402	454
841	2405	451
842	2408	448
843	2411	445
844	2414	442
845	2416	439
846	2419	437
847	2422	434
848	2425	431
849	2428	428
850	2430	425
851	2433	422
852	2436	419
853	2439	417
854	2442	414
855	2445	411
856	2448	408
857	2451	405
858	2453	402
859	2456	399
860	2459	397
861	2462	394
862	2465	391
863	2468	388
864	2471	385
865	2473	382
866	2476	379
867	2479	377
868	2482	374
869	2485	371
870	2488	368
871	2491	365
872	2494	362
873	2496	359
874	2499	357
875	2502	354
876	2505	351
877	2508	348
878	2511	345
879	2514	342
880	2516	339
881	2519	337
882	2522	334
883	2525	331
884	2528	328
885	2531	325
886	2534	322
887	2536	319
888	2539	317
889	2542	314
890	2545	311
891	2548	308
892	2551	305
893	2553	302
894	2556	299
895	2559	297
896	2562	294
897	2565	291
898	2568	288
899	2570	285
900	2573	282
901	2576	279
902	2579	277
903	2582	274
904	2585	271
905	2587	268
906	2590	265
907	2593	262
908	2596	259
909	2599	257
910	2601	254
911	2604	251
912	2607	248
913	2610	245
914	2613	242
915	2616	239
916	2618	237
917	2621	234
918	2624	231
919	2627	228
920	2630	225
921	2632	222
922	2635	219
923	2638	217
924	2641	214
925	2644	211
926	2647	208
927	2650	205
928	2653	202
929	2656	199
930	2659	197
931	2661	194
932	2664	191
933	2667	188
934	2670	185
935	2673	182
936	2675	179
937	2678	177
938	2681	174
939	2684	171
940	2687	168
941	2689	165
942	2692	162
943	2695	159
944	2698	157
945	2701	154
946	2704	151
947	2706	148
948	2709	145
949	2712	142
950	2715	139
951	2718	137
952	2721	134
953	2724	131
954	2726	128
955	2729	125
956	2732	122
957	2735	119
958	2738	117
959	2741	114
960	2743	111
961	2746	108
962	2749	105
963	2752	102
964	2755	99
965	2757	97
966	2760	94
967	2763	91
968	2766	88
969	2769	85
970	2772	82
971	2775	79
972	2777	77
973	2780	74
974	2783	71
975	2786	68
976	2789	65
977	2792	62
978	2795	59
979	2797	57
980	2800	54
981	2803	51
982	2806	48
983	2809	45
984	2812	42
985	2814	39
986	2817	37
987	2820	34
988	2823	31
989	2826	28
990	2828	25
991	2831	22
992	2834	19
993	2837	17
994	2840	14
995	2843	11
996	2846	8
997	2848	5
998	2851	2
999	2855	0
